longitude,latitude,name,description
3373167,58594133,Dunnet Bay,Dunnet Bay (Scotland)
3316484,55960932,Edinburgh,Edinburgh (Scotland)
6771600,62046867,T�rshavn,T�rshavn (Faroe Islands)
3492500,51564000,Domburg,Domburg (Netherlands)
1601550,52148550,Aldeburgh,Aldeburgh (United Kingdom)
15098587,37498721,Catania,Catania (Italy)
14466572,35947622,St George's Bay,St George's Bay (Malta)
14390175,35986979,St Paul's Bay,St Paul's Bay (Malta)
51742111,64175273,Nuuk,Nuuk (Greenland)
46176133,60725733,Qaqortoq,Qaqortoq (Greenland)
80287141,13060485,Chennai (Madras),Chennai (Madras) (India)
103641213,1319393,Tuas,Tuas (Singapore)
158233413,21476055,Makaha,Makaha (Hawaii)
123688862,38911223,Point Arena,Point Arena (USA)
28587026,43812337,Mangalia,Mangalia (Romania)
29038550,41054332,Istanbul,Istanbul (Turkey)
32466102,34718839,Yeroskipou,Yeroskipou (Cyprus)
34740942,32056066,Tel Aviv,Tel Aviv (Israel)
81154309,19286651,Half-Moon Bay,Half-Moon Bay (Cayman Islands)
75594237,9528026,Tolu,Tolu (Colombia)
23832222,37815008,Koropi,Koropi (Greece)
34963402,32831017,Haifa,Haifa (Israel)
139638319,35130754,Miura,Miura (Japan)
124373893,42226592,Pacific City,Pacific City (USA)
149434573,60108398,Seward,Seward (USA)
1734650,52451667,Lowestoft,Lowestoft (UK)
5502967,59274212,Tysv�r,Tysv�r (Norway)
122332167,47865000,Harbor Pointe,Harbor Pointe (USA)
120607205,35117648,Grover Beach,Grover Beach (USA)
1412623,51362431,Broadstairs,Broadstairs (United Kingdom)
104296,50766563,Seaford,Seaford (United Kingdom)
778797,49882759,Veules-les-Roses,Veules-les-Roses (France)
70316075,18488955,Arica,Arica (Chile)
76908750,12281156,Lurin,Lurin (Peru)
80988666,2201364,Punta Carnero,Punta Carnero (Ecuador)
79873369,9380354,Battery Pratt,Battery Pratt (Panama)
74868661,11120205,Barranquilla,Barranquilla (Colombia)
69880000,12413800,Baby Beach,Baby Beach (Aruba)
64881889,17731745,Butler's Bay,Butler's Bay (St Croix)
2643539,51127531,Koksijde,Koksijde (Belgium)
4626499,52618914,Egmond aan Zee,Egmond aan Zee (Netherlands)
38479599,13017769,Salvador,Salvador (Brazil)
46354139,23980335,Santos,Santos (Brazil)
71569996,33012460,Valpara�so,Valpara�so (Chile)
90817662,13925369,Puerto San Jose,Puerto San Jose (Guatemala)
132847214,42748230,Nakhodka,Nakhodka (Russia)
138224702,37170251,Naoetsu,Naoetsu (Japan)
2884733,51219133,Oostende,Oostende (Belgium)
5163450,50005733,Goonhilly,Goonhilly (United Kingdom)
4344367,47839500,Penmarch,Penmarch (France)
5272434,35621007,Tetuan,Tetuan (Morocco)
28277662,36841204,Marmaris,Marmaris (Turkey)
32544013,29985892,Suez,Suez (Egypt)
58629328,23627824,Muscat,Muscat (Oman)
67012836,24819172,Karachi,Karachi (Pakistan)
79851554,6843198,Mount Lavinia,Mount Lavinia (Sri Lanka)
95792046,16169767,Pyapon,Pyapon (Myanmar)
100004283,6570741,Satun,Satun (Thailand)
98799022,3734244,Medan,Medan (Indonesia)
106846310,6098154,Jakarta,Jakarta (Indonesia)
115731490,32046017,Perth,Perth (Australia)
114576586,4743994,Tungku,Tungku (Brunei)
108261814,16014450,Da Nang,Da Nang (Vietnam)
113551857,22187001,Taipa,Taipa (Macau)
114184136,22244890,Deep Water Bay,Deep Water Bay (Hong Kong)
128640536,34778000,Keoje,Keoje (South Korea)
6763395,292383,Santana,Santana (S�o Tom� and Pr�ncipe)
11825352,4630000,Brazzaville,Brazzaville (DRC)
137468086,34678846,Toyohashi,Toyohashi (Japan)
43200000,11750000,Moroni,Moroni (Comores)
28045556,26204444,Johannesburg,Johannesburg (South Africa)
32567000,300000,Kampala,Kampala (Uganda)
30050000,1933330,Kigali,Kigali (Rwanda)
36810000,1280000,Nairobi,Nairobi (Kenya)
7766667,36900000,Annaba,Annaba (Algeria)
9866667,37266666,Bizerte,Bizerte (Tunisia)
31228889,30058056,Cairo,Cairo (Egypt)
92001667,21583000,Cox's Bazaar,Cox's Bazaar (Bangladesh)
9808640,1800968,Bata,Bata (Equatorial Guinea)
57511158,20041227,Terre Rouge,Terre Rouge (Mauritius)
55533333,20900000,Sainte Marie,Sainte Marie (Reunion)
49416667,18015000,Toamasina,Toamasina (Madagascar)
8434124,37100205,Portimao,Portimao (Portugal)
5318921,36173632,Gibraltar,Gibraltar (Gibraltar)
7419700,43732700,Monaco,Monaco (Monaco)
13468233,32847850,Tripoli,Tripoli (Libya)
35850000,34433333,Tripoli,Tripoli (Lebanon)
174772310,36789190,Takapuna,Takapuna (New Zealand)
174465580,36959884,Whenuapai,Whenuapai (New Zealand)
178442000,18141600,Suva,Suva (Fiji)
158125657,21364191,Kahe Point,Kahe Point (Hawaii)
155810584,20023421,Samuel L Spencer Beach,Samuel L Spencer Beach (Hawaii)
121891944,37335278,San Jose,San Jose (USA)
120853333,35379167,Morro Bay (Verizon),Morro Bay (Verizon) (USA)
6660683,55198583,Coleraine,Coleraine (Ireland)
71656502,41368835,Green Hill,Green Hill (USA)
74138284,39806507,New Jersey,New Jersey (USA)
18161000,33339963,Yzerfontein,Yzerfontein (South Africa)
152334778,57457492,Narrow Cape,Narrow Cape (USA)
150026068,61195660,Anchorage,Anchorage (USA)
151262778,60707778,Nikiski,Nikiski (USA)
151274068,60551833,Kenai,Kenai (USA)
151540667,59638133,Homer,Homer (USA)
152353593,57820283,Kodiak,Kodiak (USA)
124102962,43984298,Florence,Florence (USA)
148707333,60777000,Whittier,Whittier (USA)
146342500,61124833,Valdez,Valdez (USA)
135389500,57090667,Sitka,Sitka (USA)
135331667,57052778,Angoon,Angoon (USA)
134770167,58394500,Juneau - AU East,Juneau - AU East (USA)
132929033,56818483,Petersburg,Petersburg (USA)
132388746,56454617,Wrangell,Wrangell (USA)
131729350,55377400,Ketchikan,Ketchikan (USA)
123924167,46165000,Warrenton,Warrenton (USA)
134585167,57501333,Angoon,Angoon (USA)
134753750,58124017,Hawk Inlet,Hawk Inlet (USA)
123929397,45613240,Nedonna Beach,Nedonna Beach (USA)
140050336,35059430,Emi,Emi (Japan)
144690833,13460833,Piti,Piti (Guam)
121433333,25166667,Tanshui,Tanshui (Taiwan)
70037000,12519000,Oranjestad,Oranjestad (Aruba)
171766667,13833333,Apia,Apia (Samoa)
170700556,14279444,Pago Pago,Pago Pago (Samoa)
158238928,21650941,Keawaula,Keawaula (Hawaii)
80391111,27641944,Vero Beach,Vero Beach (USA)
61485934,10740530,Macqueripe,Macqueripe (US Virgin Islands)
66631615,10637617,Camuri,Camuri (Venezuela)
61097178,14557510,Le Lamentin,Le Lamentin (Martinique)
61633333,10683333,Chaguaramas,Chaguaramas (Trinidad)
52326900,4922700,Cayenne,Cayenne (French Guiana)
54950000,34900000,Maldonado,Maldonado (Uruguay)
100930000,13174000,Sri Racha,Sri Racha (Thailand)
120416667,16500000,La Union,La Union (Philippines)
6033333,35466667,Asilah,Asilah (Morocco)
78882428,26597714,Eight Mile Rock,Eight Mile Rock (Bahamas)
78696583,26528472,Freeport,Freeport (Bahamas)
77945668,26749621,Riding Point,Riding Point (Bahamas)
77886593,26901528,Crown Haven,Crown Haven (Bahamas)
77220000,26528472,Marsh Harbour,Marsh Harbour (Bahamas)
77400000,26016667,Sandy Point,Sandy Point (Bahamas)
76666700,25450000,Upper Bogue,Upper Bogue (Bahamas)
76333333,24833333,Rock Sound,Rock Sound (Bahamas)
15583333,54183333,Kolobrzeg,Kolobrzeg (Poland)
11933333,54583333,Gedser,Gedser (Denmark)
15074242,54991711,Dueodde,Dueodde (Bornholm)
13833333,55416667,Ystad,Ystad (Sweden)
2183333,41383333,Barcelona,Barcelona (Spain)
8483333,44300000,Savona,Savona (Italy)
21081667,56025278,Sventoji,Sventoji (Lithuania)
21013889,56511667,Liepaja,Liepaja (Latvia)
18848033,57434000,Katthammarsvik,Katthammarsvik (Sweden)
18683333,59283333,Stavsnas,Stavsnas (Sweden)
19933333,60100000,Mariehamn,Mariehamn (Finland)
22200000,60200000,Haraldsholm,Haraldsholm (Finland)
22968500,59824444,Hango,Hango (Finland)
26941667,60466667,Kotka,Kotka (Finland)
78140000,8810000,Thoothukudi,Thoothukudi (India)
20250000,63833333,Umea,Umea (Sweden)
22000000,63166667,Vaasa,Vaasa (Finland)
41676389,42141944,Poti,Poti (Georgia)
39720278,43585278,Sochi,Sochi (Russia)
76800000,17983333,Kingston,Kingston (Jamaica)
4632800,53308800,Holyhead,Holyhead (UK)
352617,50811567,Pevensey Bay,Pevensey Bay (UK)
1484417,50172233,Cayeux-sur-Mer,Cayeux-sur-Mer (France)
76188169,17914920,Morant Point,Morant Point (Jamaica)
19750000,39666667,Corfu,Corfu (Greece)
19100000,42100000,Bar,Bar (Montenegro)
8733333,41915000,Ajaccio,Ajaccio (France)
9561361,41130720,Aranci,Aranci (Italy)
68205587,12159429,Bonaire,Bonaire (Netherlands Antilles)
12950000,55766667,Barseback,Barseback (Sweden)
12583330,55733330,Tuborg,Tuborg (Denmark)
13016667,55716667,Bjarred,Bjarred (Sweden)
12568333,55676111,Copenhagen,Copenhagen (Denmark)
8775167,58426833,Arendal,Arendal (Norway)
10029000,57605167,Hj�rring,Hj�rring (Denmark)
8011167,58134833,Kristiansand,Kristiansand (Norway)
8620167,57124833,Thisted,Thisted (Denmark)
12395834,55265499,Gedebak Odde,Gedebak Odde (Denmark)
15010164,54999652,Gedebak Odde,Gedebak Odde (Denmark)
16060833,54260000,Mielno,Mielno (Poland)
12716667,56050000,Helsingborg,Helsingborg (Sweden)
12618837,56041473,Hillerod,Hillerod (Denmark)
73508889,4175000,Male,Male (Maldives)
79842778,6934444,Colombo,Colombo (Sri Lanka)
6593383,52174700,Kilmore Quay,Kilmore Quay (Ireland)
5694300,50080100,Sennen Cove,Sennen Cove (UK)
5133333,36433333,Estepona,Estepona (Spain)
11350000,54650000,R�dbyhavn,R�dbyhavn (Denmark)
11216667,54500000,Puttgarden,Puttgarden (Germany)
47978333,29369722,Kuwait City,Kuwait City (Kuwait)
50583333,26216667,Manama,Manama (Bahrain)
51533333,25286667,Doha,Doha (Qatar)
55311667,25264444,Dubai,Dubai (UAE)
77916667,18466667,Montego Bay,Montego Bay (Jamaica)
77116667,18416667,Ocho Rios,Ocho Rios (Jamaica)
24937500,60170833,Helsinki,Helsinki (Finland)
24745278,59437222,Tallinn,Tallinn (Estonia)
25246667,59383000,Meremoisa,Meremoisa (Estonia)
73344167,40902778,Northport,Northport (USA)
73656944,40603056,Island Park,Island Park (USA)
2757183,48564083,Plerin,Plerin (France)
35000000,29516667,Aqaba,Aqaba (Jordan)
100596667,7206111,Songkhla,Songkhla (Thailand)
139254694,35295328,Ninomiya,Ninomiya (Japan)
42951111,14802222,Al Hudaydah,Al Hudaydah (Yemen)
52171111,16210556,Al Ghaydah,Al Ghaydah (Yemen)
56250000,26183333,Khasab,Khasab (Oman)
58182500,23680278,Al Seeb,Al Seeb (Oman)
51486390,25574720,Sumaisma,Sumaisma (Qatar)
50200000,26283333,Al-Khobar,Al-Khobar (Saudi Arabia)
