longitude,latitude,name,description
114254098,22208465,Cape D'Aguilar,Cape D'Aguilar (Hong Kong)
6592900,52176300,Kilmore Quay,Kilmore Quay (Ireland)
2533400,49503383,Lancresse Bay,Lancresse Bay (Guernsey)
3610617,50319717,Dartmouth,Dartmouth (UK)
4692500,54224100,Peel,Peel (Isle of Man)
5554267,54302283,Ballyhornan,Ballyhornan (Ireland)
3062333,53607833,Southport,Southport (United Kingdom)
6101167,53385200,Dublin,Dublin (Ireland)
55278250,20998683,Saint-Paul,Saint-Paul (Reunion)
57446083,20501050,Baie du Jacotet,Baie du Jacotet (Mauritius)
76178667,10140500,Kochi,Kochi (India)
70030000,18420000,Bajos de Haina,Bajos de Haina (Dominican Republic)
76716667,17950000,Harbour View,Harbour View (Jamaica)
64633333,18400000,Nanny Cay,Nanny Cay (British Virgin Islands)
18915000,59289042,Sandhamn,Sandhamn (Sweden)
22600000,59083333,Tahkuna,Tahkuna (Estonia)
24702587,59464000,Paljassaare,Paljassaare (Estonia)
9928011,2981845,Kribi,Kribi (Cameroon)
3584090,6417109,Lagos,Lagos (Nigeria)
151750000,16517000,Vaitape,Vaitape (French Polynesia)
149433593,17509000,Papenoo,Papenoo (French Polynesia)
149841779,17486549,Moorea,Moorea (French Polynesia)
151464114,16709886,Uturoa,Uturoa (French Polynesia)
45166876,12742618,LION2 Landing Site,LION2 Landing Site (Mayotte)
75708901,19960000,Siboney,Siboney (Cuba)
66933056,10600000,La Guaira,La Guaira (Venezuela)
18108333,42640000,Dubrovnik,Dubrovnik (Croatia)
5693005,50053698,Skewjack,Skewjack (UK)
29688117,31067511,Abu Talat,Abu Talat (Egypt)
32657972,29116234,Zafarana,Zafarana (Egypt)
134387500,58285000,Juneau - SEAK,Juneau - SEAK (USA)
132696000,56530500,Mitkof,Mitkof (USA)
27150000,38433333,Izmir,Izmir (Turkey)
66010000,18439444,Isla Verde,Isla Verde (Puerto Rico)
69962119,18433979,Cacique,Cacique (Dominican Republic)
35945683,36080150,Samadag,Samadag (Turkey)
33922312,35277828,Iskele,Iskele (Cyprus)
33319167,35340000,Girne,Girne (Cyprus)
32966667,36100000,Boyazi,Boyazi (Turkey)
79899399,9355946,Colon,Colon (Panama)
84453811,9525592,Esterillos,Esterillos (Costa Rica)
28015366,43233735,Varna,Varna (Bulgaria)
27989200,41880200,Igneada,Igneada (Turkey)
29075855,41185046,Rumeli,Rumeli (Turkey)
26601341,39546225,Kucukkuyu,Kucukkuyu (Turkey)
26274285,38291251,Ciftlikkoy,Ciftlikkoy (Turkey)
26519312,38164243,Nergis,Nergis (Turkey)
27263413,36965970,Turgutreis,Turgutreis (Turkey)
28254348,36771641,Turunc,Turunc (Turkey)
43467000,23016667,Recreio Beach,Recreio Beach (Brazil)
75977900,36851000,Virginia Beach,Virginia Beach (USA)
175200000,21133000,Tonga-Fiji Landing Station,Tonga-Fiji Landing Station (Tonga)
64746347,32311584,Devonshire,Devonshire (Bermuda)
4577833,54102633,LANIS-1 Landing,LANIS-1 Landing (Isle of Man)
3067067,53774400,Manchester,Manchester (UK)
5483767,54539917,Ballywalter,Ballywalter (Ireland)
22433333,63833000,Grindav�k,Grindav�k (Iceland)
9991000,54225000,Belmullet,Belmullet (Ireland)
50650000,26250000,Al-Hidd,Al-Hidd (Bahrain)
50833333,28967000,Bushehr,Bushehr (Iran)
32416667,34767000,Paphos,Paphos (Cyprus)
8685833,50112000,Frankfurt,Frankfurt (Germany)
4892222,52373000,Amsterdam,Amsterdam (Netherlands)
1635229,49360973,Paris,Paris (France)
151298607,33777424,"Oxford Falls, Sydney","Oxford Falls, Sydney (Australia)"
151226210,33885000,"Paddington, Sydney","Paddington, Sydney (Australia)"
151270410,33765000,"Brookvale, Sydney","Brookvale, Sydney (Australia)"
151200070,33902000,"Alexandria, Sydney","Alexandria, Sydney (Australia)"
9094000,4030000,Madison Park Beach,Madison Park Beach (Cameroon)
3640217,6426000,Lekki,Lekki (Nigeria)
169083,5552000,South La,South La (Ghana)
3952278,5248000,Abdijan,Abdijan (Cote d'Ivoire)
15378837,27983000,Playa La Salineta,Playa La Salineta (Spain (Canary Islands))
9195248,38572000,Fonte da Telha beach (BMH2),Fonte da Telha beach (BMH2) (Portugal)
13197500,9564000,Sangano Village (Landing),Sangano Village (Landing) (Angola)
13205000,9559111,Sangano Village (Cable Station),Sangano Village (Cable Station) (Angola)
131900000,43133333,Vladivostok,Vladivostok (Russia)
81411840,30324363,Miami,Miami (USA)
53959352,48206782,Milton CLS,Milton CLS (Canada)
68518333,63745567,Iqaluit BMH,Iqaluit BMH (Canada)
76544121,64232128,Cape Dorset BMH,Cape Dorset BMH (Canada)
81237035,68791256,Hall Beach BMH,Hall Beach BMH (Canada)
81798123,69376973,Igloolik BMH,Igloolik BMH (Canada)
93527090,69536228,Taloyoak,Taloyoak (Canada)
95878488,68623912,Goja Haven BMH,Goja Haven BMH (Canada)
105061517,69115137,Cambridge Bay CLS,Cambridge Bay CLS (Canada)
133034888,69443457,Tuktoyaktuk BMH,Tuktoyaktuk BMH (Canada)
148457796,70203312,Prudhoe Bay,Prudhoe Bay (USA)
156792750,71291286,Barrow BMH,Barrow BMH (USA)
160030881,70639841,Wainwright BMH,Wainwright BMH (USA)
162586000,66897222,Kotzebue BMH,Kotzebue BMH (USA)
165403996,64496872,Nome BMH,Nome BMH (USA)
171727182,63778020,Gambell BMH,Gambell BMH (USA)
33109927,68995466,Murmansk,Murmansk (Russia)
177507880,64733390,Anaduir,Anaduir (Russia)
158632271,53055017,Petropavlovsk-Kamchatskiy,Petropavlovsk-Kamchatskiy (Russia)
150787501,59551291,Magadan,Magadan (Russia)
142737777,46957463,Ujno-Sahalinsk,Ujno-Sahalinsk (Russia)
121727001,31168591,Shanghai,Shanghai (China)
139697684,35683252,Tokyo,Tokyo (Japan)
6350000,36617000,Rota,Rota (Spain)
7240000,4449167,Bonny Island,Bonny Island (Nigeria)
383333,39467000,Valencia,Valencia (Spain)
2650000,39566667,Palma,Palma (Spain)
5704167,15903057,SAex Landing,SAex Landing (St Helena)
46195512,23902160,Sao Paulo,Sao Paulo (Brazil)
16444197,28182950,Tenerife,Tenerife (Spain (Canary Islands))
17740016,28656864,La Palma Landing,La Palma Landing (Spain (Canary Islands))
28167000,43416667,Balchik,Balchik (Bulgaria)
122950000,14117000,Daet,Daet (Philippines)
289300,54210000,Filey,Filey (UK)
40533333,64533000,Arkhangelsk,Arkhangelsk (Russia)
83164167,64137000,Coral Harbour BMH,Coral Harbour BMH (Canada)
90706111,63341000,Chesterfield Inlet,Chesterfield Inlet (Canada)
92099000,62809722,Rankin Inlet,Rankin Inlet (Canada)
94056944,61108000,Arviat,Arviat (Canada)
75650000,62200000,Salluit,Salluit (Canada)
77908333,62417000,Ivujivik,Ivujivik (Canada)
69616944,61047000,Quagtaq,Quagtaq (Canada)
71966667,61600000,Kangiqsujaq,Kangiqsujaq (Canada)
70027778,60018000,Kangirsuk,Kangirsuk (Canada)
68398611,58107000,Kuujjuaq,Kuujjuaq (Canada)
61692778,56542000,Nain,Nain (Canada)
1985556,43321000,San Sebastian,San Sebastian (Spain)
66838046,10551749,Caracas,Caracas (Venezuela)
80716200,950020,Manta,Manta (Ecuador)
79566660,8950000,Balboa,Balboa (Panama)
22633333,32767000,Derna,Derna (Libya)
103645077,1316495,Tuas,Tuas (Singapore)
114645185,4797451,Telisai,Telisai (Brunei)
116744416,23344495,Shantou,Shantou (China)
32490000,34748611,Anatoliko,Anatoliko (Cyprus)
157983333,21467000,Oahu,Oahu (Hawaii)
4228412,56078000,South Arne (Oil Platform),South Arne (Oil Platform) (Denmark)
4564250,55804000,Valdemar (Oil Platform),Valdemar (Oil Platform) (Denmark)
4882617,55640000,Tyra (Oil Platform),Tyra (Oil Platform) (Denmark)
54366667,24467000,Abu Dhabi,Abu Dhabi (UAE)
166796997,68348999,Point Hope,Point Hope (USA)
122405204,47722699,Seattle,Seattle (USA)
141595001,42632999,Tomakomai,Tomakomai (Japan)
8283482,51879843,Cork,Cork (Ireland)
81391129,30294039,Jacksonville,Jacksonville (USA)
145787003,5210000,Madang,Madang (Papua New Guinea)
115112000,21643000,Onslow,Onslow (Australia)
116712997,20669001,Karratha,Karratha (Australia)
3349817,54217367,Silecroft Beach,Silecroft Beach (UK)
4421567,54175283,Groudle Bay,Groudle Bay (Isle of Man)
2883417,48675633,le Palus,le Palus (France)
2911517,58808583,Ayre of Cara,Ayre of Cara (UK)
38500313,23768911,Yanbu,Yanbu (Saudi Arabia)
80533333,5950000,Matara,Matara (Sri Lanka)
90116667,21817000,Kuatka,Kuatka (Bangladesh)
94391667,16858000,Ngwesaung,Ngwesaung (Myanmar)
95569380,5624134,Landnig Station,Landnig Station (Indonesia)
174323611,35725000,Whangarei,Whangarei (New Zealand)
167915346,29005060,Hawaiki Landing,Hawaiki Landing (Norfolk)
178042511,14319447,Hawaiki Landing,Hawaiki Landing (Wallis and Futuna)
123966667,45200000,Pacific City,Pacific City (USA)
6200000,53383333,Clonshaugh,Clonshaugh (Ireland)
74328040,39614000,Tuckerton,Tuckerton (USA)
74043088,40130000,Manasquan,Manasquan (USA)
29734091,31072028,Abo Talat,Abo Talat (Egypt)
12541638,37667716,Mazara,Mazara (Italy)
